,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineStyle,Full_Name,Rating_Somm
21,Steiner 2013,Hungary,Sopron,Weninger,3.7,100,24.5,2013,red,Steiner 2013 Weninger red,Above Average to Very Good
22,Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,100,38.7,2015,red,Old Vines Primitivo 2015 Azienda Agricola Morella red,Outstanding
23,Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,6.77,2013,red,Virtus Tannat 2013 Monte Paschoal red,Average
24,Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,2015,red,Kallista 2015 Vriesenhof red,Outstanding
25,Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,1000,39.9,2016,red,Badia a Passignano Gran Selezione Chianti Classico 2016 Antinori red,Outstanding
26,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174.49,2012,red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012 Château Figeac red,Outstanding
27,Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,1000,15.9,2013,red,Carlo V Il Rosso dell'Imperatore 2013 Colli Vicentini red,Above Average to Very Good
28,Pinot Noir 2016,United States,Monterey,District 7,3.6,1001,15.98,2016,red,Pinot Noir 2016 District 7 red,Above Average to Very Good
29,Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,43.28,2015,red,Marquis de Calon Saint-Estèphe 2015 Château Calon-Ségur red,Outstanding
30,Hécula Monastrell 2017,Spain,Yecla,Castaño,3.3,1004,8.83,2017,red,Hécula Monastrell 2017 Castaño red,Above Average to Very Good
31,Berola 2015,Spain,Campo de Borja,Borsao,3.9,1006,14.52,2015,red,Berola 2015 Borsao red,Outstanding
32,Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189.0,2010,red,Saint-Julien (Grand Cru Classé) 2010 Château Léoville Poyferré red,Outstanding
33,Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,1009,15.9,2017,red,Pinot Noir Bourgogne 2017 Faiveley red,Above Average to Very Good
34,Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,101,76.9,2007,red,Vigna del Noce Barbera d'Asti 2007 Trinchero red,Outstanding
35,I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,101,7.04,2017,red,I Tratturi Rosso 2017 San Marzano red,Above Average to Very Good
36,Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,101,6.5,2017,red,Château Pilet Bordeaux 2017 J.Queyrens & Fils red,Above Average to Very Good
37,Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,101,37.34,2015,red,Sancerre Rouge 2015 Comte Lafond red,Outstanding
38,Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,101,8.67,2016,red,Shiraz 2016 Food Truck red,Above Average to Very Good
39,Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,101,24.37,2018,red,Ro-Rée Saint-Joseph 2018 Louis Chèze red,Outstanding
40,Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4.0,101,16.5,2015,red,Cabernet Sauvignon 2015 Big Flower red,Outstanding
41,Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,101,16.47,2015,red,Cuvée Alienor Fronsac 2015 Château Mayne-Vieil red,Above Average to Very Good
42,Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,101,31.96,2014,red,Sabbie di Sopra al Bosco 2014 Nanni Copé red,Above Average to Very Good
43,Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4.0,101,9.95,2018,red,Roma Rosso 2018 Poggio le Volpi red,Outstanding
44,Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,101,21.9,2014,red,Garnacha de Arrayán 2014 Arrayán red,Above Average to Very Good
45,Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,101,7.6,2018,red,Cabernet Sauvignon 2018 Valdivieso red,Above Average to Very Good
46,Terrenus Vinhas Velhas Reserva 2013,Portugal,Alentejano,Rui Reguinga,4.1,101,27.95,2013,red,Terrenus Vinhas Velhas Reserva 2013 Rui Reguinga red,Outstanding
47,Fronsac 2005,France,Fronsac,Château Villars,3.8,101,25.95,2005,red,Fronsac 2005 Château Villars red,Above Average to Very Good
48,Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,101,14.09,2014,red,Cuvée Charles de Batz Madiran 2014 Domaine Berthoumieu red,Above Average to Very Good
49,Stony Terrace Cabernet Sauvignon 2016,United States,Napa Valley,Rutherford Wine Company,3.8,101,18.03,2016,red,Stony Terrace Cabernet Sauvignon 2016 Rutherford Wine Company red,Above Average to Very Good
50,12 e Mezzo Puglia Primitivo Organic Wine 2016,Italy,Puglia,Varvaglione,3.9,101,9.4,2016,red,12 e Mezzo Puglia Primitivo Organic Wine 2016 Varvaglione red,Outstanding
51,El Abuelo Selección Edición Limitada 2013,Spain,Almansa,Bodegas Piqueras,4.2,101,10.95,2013,red,El Abuelo Selección Edición Limitada 2013 Bodegas Piqueras red,Outstanding
52,Sangre de Toro Special Selection 2017,Spain,Catalunya,Torres,3.6,101,8.9,2017,red,Sangre de Toro Special Selection 2017 Torres red,Above Average to Very Good
53,Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,101,11.05,2018,red,Château Paul Mas Coteaux du Languedoc Clos des Mures 2018 Paul Mas red,Above Average to Very Good
54,Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,101,5.36,2018,red,Merlot 2018 Les Jamelles red,Above Average to Very Good
55,Roscaleto Barbera d'Alba 2015,Italy,Barbera d'Alba,Enzo Boglietti,3.9,101,31.18,2015,red,Roscaleto Barbera d'Alba 2015 Enzo Boglietti red,Outstanding
56,Barolo Cannubi 2014,Italy,Barolo,Giacomo Fenocchio,4.0,101,39.9,2014,red,Barolo Cannubi 2014 Giacomo Fenocchio red,Outstanding
57,Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,101,633.62,2017,red,Pauillac (Premier Grand Cru Classé) 2017 Château Mouton Rothschild red,Outstanding
58,Cabernet Sauvignon 2014,United States,Washington,Stimson Estate Cellars,3.3,101,8.29,2014,red,Cabernet Sauvignon 2014 Stimson Estate Cellars red,Above Average to Very Good
59,Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,101,48.0,2017,red,Côte-Rôtie Le Gallet Blanc 2017 Francois Villard red,Outstanding
60,Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,101,19.9,2015,red,Capatosta 2015 Poggio Argentiera red,Above Average to Very Good
61,Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,101,9.5,2015,red,Constance Madiran 2015 Domaine Berthoumieu red,Above Average to Very Good
62,Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,1010,7.36,2019,red,Oak Cask Malbec 2019 Trapiche red,Above Average to Very Good
63,Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,1010,16.8,2017,red,Amancaya Malbec - Cabernet Sauvignon 2017 Caro (Catena and Rothschild) red,Outstanding
64,Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4.0,1012,19.9,2017,red,Laccento Ruché di Castagnole Monferrato 2017 Montalbera red,Outstanding
65,San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,48.64,2011,red,San Leonardo 2011 San Leonardo red,Outstanding
66,Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,1012,11.35,2015,red,Fausto Tannat 2015 Pizzato red,Above Average to Very Good
67,Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,1014,119.0,2007,red,Pauillac (Grand Cru Classé) 2007 Château Pichon Baron red,Outstanding
68,Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,1014,53.61,2016,red,Disciples 2016 The Crane Assembly red,Outstanding
69,Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,1015,16.75,2015,red,Zinfandel 2015 Bonterra red,Above Average to Very Good
70,Margaux 2010,France,Margaux,Château Labégorce,4.0,1016,40.95,2010,red,Margaux 2010 Château Labégorce red,Outstanding
71,La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11.49,2015,red,La Luna e i Falò Barbera d'Asti Superiore 2015 Vite Colte red,Above Average to Very Good
72,Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,1017,38.8,2015,red,Ribera del Duero 2015 Garmón red,Outstanding
73,Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,102,7.95,2018,red,Les Jardins Rouge 2018 Saint Antonin red,Above Average to Very Good
74,Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,2018,red,Nero d'Avola - Syrah 2018 Roccaperciata red,Above Average to Very Good
75,La Bienquerida 2013,Spain,Bierzo,Losada,4.1,102,35.97,2013,red,La Bienquerida 2013 Losada red,Outstanding
76,Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.5,2018,red,Bonera 2018 Mandrarossa red,Above Average to Very Good
77,Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,23.5,2016,red,Noi 4 Bolgheri 2016 Tenuta dei Sette Cieli red,Outstanding
78,Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,2016,red,Pinot Noir 2016 Clos Henri Vineyard red,Outstanding
79,Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005,red,Saint-Émilion Grand Cru 2005 Château Grand Barrail Lamarzelle Figeac red,Outstanding
80,Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,102,6.75,2017,red,Gran Selección Tempranillo 2017 Viña San Juan red,Above Average to Very Good
81,Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,102,18.25,2017,red,Syrah 2017 Glen Carlou red,Outstanding
82,Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,102,10.6,2017,red,Zweigelt 2017 Judith Beck red,Outstanding
83,Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015,red,Saint-Émilion Grand Cru 2015 Château Vieux Clos St. Emilion red,Outstanding
84,Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017,red,Listán Negro 2017 Bermejo red,Above Average to Very Good
85,Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.5,2015,red,Viile Metamorfosis Merlot 2015 Vitis Metamorfosis red,Above Average to Very Good
86,Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,102,12.48,2014,red,Merlot - Cabernet Sauvignon - Petit Verdot 2014 Creation red,Outstanding
87,RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,102,229.0,2017,red,RWT Shiraz 2017 Penfolds red,Outstanding
88,Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018,red,Fronton 2018 Château Bellevue La Forét red,Above Average to Very Good
89,Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,102,13.95,2013,red,Costers Del Gravet Montsant 2013 Capçanes red,Above Average to Very Good
90,Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,102,7.9,2018,red,Merlot 2018 Cusumano red,Above Average to Very Good
91,Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,102,33.05,2015,red,Pinot Noir 2015 Paul Achs red,Above Average to Very Good
92,Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,102,16.96,2019,red,Coume de l'Olla Rouge 2019 Matassa red,Outstanding
93,Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,2017,red,Schwarzer 2017 Weingut Metzger red,Above Average to Very Good
94,Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015,red,Haut-Médoc 2015 Château Beaumont red,Above Average to Very Good
95,Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,2015,red,Bourgogne Pinot Noir (La Vignée) 2015 Bouchard Père & Fils red,Above Average to Very Good
96,Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49.09,2017,red,Pinot Noir 2017 Hamilton Russell Vineyards red,Outstanding
97,Zinfandel 2016,United States,California,Geyser Peak,3.7,1023,10.9,2016,red,Zinfandel 2016 Geyser Peak red,Above Average to Very Good
98,Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,15.5,2017,red,Valpolicella Ripasso Classico Superiore 2017 Bolla red,Above Average to Very Good
99,Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26.5,2015,red,Rosso di Montalcino 2015 Castiglion del Bosco red,Outstanding
100,Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,8.6,2016,red,Ripanço Private Selection Alentejano 2016 José Maria da Fonseca red,Above Average to Very Good
101,Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,10.66,2017,red,Riserva Cannonau di Sardegna 2017 Sella & Mosca red,Above Average to Very Good
102,60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17.24,2016,red,60 Sessantanni Old Vines Primitivo di Manduria 2016 San Marzano red,Outstanding
103,Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,1028,38.5,2017,red,Kith & Kin Cabernet Sauvignon 2017 Round Pond Estate red,Outstanding
104,Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,1029,34.12,2017,red,Zinfandel 2017 Rombauer Vineyards red,Outstanding
105,Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,103,14.65,2011,red,Cerro Añon Rioja Gran Reserva 2011 Bodegas Olarra red,Outstanding
106,Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4.0,103,14.57,2013,red,Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013 Geoff Merrill red,Outstanding
107,Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,103,26.18,2016,red,Plaer Vinyes Velles 2016 Acustic Celler red,Outstanding
108,Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,103,3.95,2016,red,Cabernet - Shiraz 2016 Añoranza red,Above Average to Very Good
109,Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,26.9,2014,red,Saint-Émilion Grand Cru 2014 Château La Confession red,Outstanding
110,Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,103,16.83,2011,red,Comte de Sénéjac Haut-Médoc 2011 Château Sénéjac red,Above Average to Very Good
111,Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,103,39.9,2014,red,Gran Masetto Teroldego 2014 Endrizzi red,Outstanding
112,Barolo Mariondino 2015,Italy,Barolo,Parusso,4.1,103,39.9,2015,red,Barolo Mariondino 2015 Parusso red,Outstanding
113,Crianza 2016,Spain,Rioja,Berceo,3.6,103,9.9,2016,red,Crianza 2016 Berceo red,Above Average to Very Good
114,Apogee Pepper Bridge Vineyard 2013,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,46.9,2013,red,Apogee Pepper Bridge Vineyard 2013 L'Ecole No 41 red,Outstanding
115,Gamma Red Blend 2018,Spain,Navarra,Bodegas Piedemonte,3.4,103,6.15,2018,red,Gamma Red Blend 2018 Bodegas Piedemonte red,Above Average to Very Good
116,Peyres Nobles Rouge 2018,France,Corbières,Château Camplong,4.0,103,6.5,2018,red,Peyres Nobles Rouge 2018 Château Camplong red,Outstanding
117,Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,103,29.67,2015,red,Lemartine Toscana 2015 Poggio Antico red,Outstanding
118,Organic Cabernet 2018,Australia,South Australia,Farm Hand,3.7,103,7.79,2018,red,Organic Cabernet 2018 Farm Hand red,Above Average to Very Good
119,Pomerol 1999,France,Pomerol,Château Nénin,4.1,103,240.0,1999,red,Pomerol 1999 Château Nénin red,Outstanding
120,Malterdinger Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.1,103,38.69,2016,red,Malterdinger Alte Reben Spätburgunder 2016 Bernhard Huber red,Outstanding
121,Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,103,59.95,2012,red,Cabernet Franc 2012 Anthonij Rupert red,Outstanding
122,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,193.02,2002,red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002 Château Valandraud red,Outstanding
123,Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,103,75.07,2017,red,Bramare Rebon Vineyard Malbec 2017 Viña Cobos red,Outstanding
124,Merlot Reserva 2008,Brazil,Vale dos Vinhedos,Pizzato,3.2,103,15.9,2008,red,Merlot Reserva 2008 Pizzato red,Above Average to Very Good
125,Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66.29,2015,red,Brunello di Montalcino Pianrosso 2015 Ciacci Piccolomini d'Aragona red,Outstanding
126,François de Tournon Saint-Joseph 2016,France,Saint-Joseph,Delas,3.9,103,29.15,2016,red,François de Tournon Saint-Joseph 2016 Delas red,Outstanding
127,Estibals Minervois 2018,France,Minervois,L'Ostal Cazes,3.6,103,10.99,2018,red,Estibals Minervois 2018 L'Ostal Cazes red,Above Average to Very Good
128,Barbera - Garnacha 2017,Chile,Maule Valley,Erasmo,3.5,103,12.62,2017,red,Barbera - Garnacha 2017 Erasmo red,Above Average to Very Good
129,Roi des Lézards 2014,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,19.4,2014,red,Roi des Lézards 2014 Domaine Les Enfants Sauvages red,Outstanding
130,One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,1030,120.01,2016,red,One Point Five Cabernet Sauvignon 2016 Shafer red,Outstanding
131,Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,1030,199.9,2013,red,Barbaresco 2013 Gaja red,Outstanding
132,Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Branaire-Ducru,3.9,1030,59.54,2006,red,Saint-Julien (Grand Cru Classé) 2006 Château Branaire-Ducru red,Outstanding
133,Médoc 2012,France,Médoc,Château Potensac,3.8,1033,39.69,2012,red,Médoc 2012 Château Potensac red,Above Average to Very Good
134,Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,1035,59.9,2014,red,Pieve Santa Restituta Brunello di Montalcino 2014 Gaja red,Outstanding
135,Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,9.75,2017,red,Gran Maestro Primitivo di Manduria 2017 Maestro Italiano red,Outstanding
136,Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Barton,4.2,1037,87.24,2011,red,Saint-Julien (Grand Cru Classé) 2011 Château Léoville Barton red,Outstanding
137,Inferno (Aged in Whiskey Barrels - Limited Release) 2017,United States,California,Apothic,3.8,1037,14.56,2017,red,Inferno (Aged in Whiskey Barrels - Limited Release) 2017 Apothic red,Above Average to Very Good
138,Pessac-Léognan (Grand Cru Classé de Graves) 2007,France,Pessac-Léognan,Château Pape Clément,4.3,1037,161.1,2007,red,Pessac-Léognan (Grand Cru Classé de Graves) 2007 Château Pape Clément red,Outstanding
139,Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4.0,1038,14.9,2015,red,Faithful Hound Red 2015 Mulderbosch red,Outstanding
140,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,1039,69.0,2012,red,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012 Masi red,Outstanding
141,Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Talenti,3.7,104,14.43,2018,red,Rosso di Montalcino 2018 Talenti red,Above Average to Very Good
142,Chianti 2017,Italy,Chianti,Sammontana,3.7,104,8.9,2017,red,Chianti 2017 Sammontana red,Above Average to Very Good
143,Azul 2015,Spain,Ribera del Queiles,Guelbenzu,3.8,104,6.99,2015,red,Azul 2015 Guelbenzu red,Above Average to Very Good
144,Sanct Valentin Riserva Pinot Noir 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.2,2017,red,Sanct Valentin Riserva Pinot Noir 2017 St. Michael-Eppan red,Outstanding
145,Mas Collet Barrica 2009,Spain,Montsant,Capçanes,3.5,104,21.91,2009,red,Mas Collet Barrica 2009 Capçanes red,Above Average to Very Good
146,Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,16.9,2016,red,Valpolicella Ripasso Classico Superiore 2016 Paolo Cottini red,Outstanding
147,Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,104,69.0,2016,red,Toscana Poggio Ai Merli 2016 Castellare red,Outstanding
148,Viña Aljibes Red Blend 2016,Spain,Castilla,Finca Los Aljibes,3.4,104,8.2,2016,red,Viña Aljibes Red Blend 2016 Finca Los Aljibes red,Above Average to Very Good
149,Châteauneuf-du-Pape (La Crau) 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,79.95,2017,red,Châteauneuf-du-Pape (La Crau) 2017 Domaine du Vieux Télégraphe red,Outstanding
150,Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,26.23,2015,red,Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015 Pierre Amadieu red,Outstanding
151,Mencia 2015,Spain,Valdeorras,Viña Costeira,3.2,104,8.28,2015,red,Mencia 2015 Viña Costeira red,Above Average to Very Good
152,Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,104,32.0,2016,red,Santenay Clos de Malte 2016 Louis Jadot red,Outstanding
153,Sudisfà Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,104,29.9,2015,red,Sudisfà Roero Riserva 2015 Negro Angelo red,Outstanding
154,Léa Les Aspres Côtes du Roussillon Rouge 2012,France,Côtes du Roussillon,Domaine Lafage,4.0,104,19.95,2012,red,Léa Les Aspres Côtes du Roussillon Rouge 2012 Domaine Lafage red,Outstanding
155,Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,2012,red,Alleanza 2012 Castello di Gabbiano red,Outstanding
156,Valpolicella Ripasso Classico Superiore Solane 2015,Italy,Valpolicella Ripasso,Santi,3.7,1040,14.75,2015,red,Valpolicella Ripasso Classico Superiore Solane 2015 Santi red,Above Average to Very Good
157,Crianza 2015,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,11.95,2015,red,Crianza 2015 Bodegas José L. Ferrer red,Above Average to Very Good
158,Courela Tinto 2016,Portugal,Alentejano,Cortes de Cima,3.6,1040,5.65,2016,red,Courela Tinto 2016 Cortes de Cima red,Above Average to Very Good
159,Barbera d'Alba Tre Vigne 2015,Italy,Barbera d'Alba,Vietti,3.8,1040,19.5,2015,red,Barbera d'Alba Tre Vigne 2015 Vietti red,Above Average to Very Good
160,No Name 2014,Italy,Piemonte,Borgogno,4.0,1041,34.32,2014,red,No Name 2014 Borgogno red,Outstanding
